Identifiant;Nom;Pr�nom;Adresse;Date de Naissance;Adresse mail;Login;Mot de Passe;Role
1;Dupuis;Marc;l�;12/12/1999;mdupuis@gmail.com;dMarc;5555;True
2;Sapin;Fleur;loin;03/03/1958;sapinF@gmail.com;Fsapin;9876;True
3;Manteau;Neige;juste � c�t�;26/07/1994;manteauneige@gmail.com;neigeM;3698;True
4;Chaton;No�l;pas tout pr�s;23/08/1975;nchaton@gmail.com;NoelC;2514;True
5;Epinou;Romain;au bout de la rue;15/06/1954;repinou@gmail.com;Epinour;2365;False
6;De Laglisse;Myrtille;sur le chemin;31/07/1962;Mdelaglisse@gmal.com;MLaGlisse;8745;False
7;Du Soleil;Reine;en ville;25/12/2000;reinedusoleil@gmail.com;ReineSun;8965;False
8;Rafino;Thierry;ici;02/02/2000;rafinotiti@gmail.com;rafifi;1234;False
9;LesZamis;Sarah;l� bas;01/01/1965;zazamis@gmail.com;zaza65;9874;False
10;Surfi;Riton;ailleurs;23/12/1983;RitonSurfi@gmail.com;Ritonton;1478;False
11;s;s;s;29/07/2004;arthur.@reseau.eseo.fr;ad;1234;False
